stop_id,stop_name,stop_lon,stop_lat
istb.184886,ÇAMLAR,29.25297,41.04649
istb.184798,ÇATALMEŞE,29.24977,41.04856
istb.184801,G15 SOKAK,29.24567,41.04805
istb.185198,MEZARLIK,29.24377,41.04997
istb.185200,SULTANSUYU,29.24409,41.05263
istb.185202,ATATÜRK BULVARI,29.24503,41.05481
istb.185204,C15 SOKAK,29.24306,41.05559
istb.185132,ADNAN KAHVECİ CAD.,29.23968,41.05771
istb.185130,188. SOKAK,29.23975,41.05233
istb.185128,REŞADİYE CADDESİ,29.23971,41.04937
istb.191297,ALEMDAR,29.23979,41.04743
istb.191293,SARAY CADDESİ,29.23778,41.04366
istb.185984,TURGUT ÖZAL CADDESİ,29.23647,41.04173
istb.186891,ÇEKMEKÖY BLD.FEN İŞL,29.23568,41.03784
istb.186897,SARAY CADDESİ,29.23746,41.03431
istb.186889,EMİR SULTAN CAMİİ,29.2418,41.0336
istb.186369,M.AKİFERSOY İ.Ö.OKL.,29.24311,41.03033
istb.184970,PAPATYA,29.24225,41.02944
istb.186887,KEVSER CAMİİ,29.23892,41.03029
istb.186895,KURAN KURSU CADDESİ,29.23511,41.03198
istb.190562,EKŞİOĞLU MAH.,29.23374,41.03228
istb.191287,YENİDOĞAN SAPAĞI,29.2307,41.03132
istb.191285,TAŞDELEN,29.22778,41.03143
istb.191283,SULTANÇİFTLİĞİ,29.22459,41.02952
istb.186799,SİNAN SOKAK,29.22241,41.02752
istb.191281,GÜNGÖREN,29.21978,41.02663
istb.191279,SEYMENLER,29.21703,41.02443
istb.191276,HALİT BİN VELİT CAMİ,29.21521,41.02161
istb.187762,NAR SOKAK,29.22206,41.02332
istb.192193,VATAN CADDESİ,29.23006,41.02657
istb.191563,ADNAN KAHVECİ,29.23494,41.02287
istb.186775,CEMRE SOKAK,29.23373,41.02171
istb.186777,DEĞER SOKAK,29.23268,41.02045
istb.186779,BURÇAK SOKAK,29.23065,41.01757
istb.184766,KALE SOKAK,29.22912,41.01636
istb.186781,SULTANGAZİ,29.22584,41.0164
istb.186783,VATAN İÖ. OKULU,29.22185,41.01634
istb.186785,SULTANGAZİ CAD.,29.21675,41.01604
istb.185138,SEVGİ SOKAK,29.21218,41.01547
istb.186787,MEHMETCİK LİSESİ,29.20934,41.01456
istb.191921,KÖYİÇİ,29.17491,41.03444
istb.185871,BAL SOKAK,29.16958,41.03636
istb.185987,AKŞEMSETTİN CAMİİ,29.16599,41.03538
istb.191923,KÖŞK,29.17473,41.03729
istb.191925,ÇEKMEKÖY,29.17621,41.04029
istb.187149,KÖROĞLU CADDESİ,29.17921,41.04136
istb.187151,KÜÇÜK KORU CAMİİ,29.17986,41.04
istb.187152,YEŞİLTEPE,29.18274,41.04064
istb.187150,KÜÇÜK KORU CAMİİ,29.1805,41.04032
istb.187148,KÖROĞLU CADDESİ,29.17918,41.04139
istb.191924,ÇEKMEKÖY,29.17602,41.0402
istb.191922,KÖŞK,29.17508,41.03782
istb.191275,NÜKTE SÖZEN İ.Ö.OKL,29.16128,41.03694
istb.185986,AKŞEMSETTİN CAMİİ,29.16628,41.0353
istb.185870,BAL SOKAK,29.16943,41.03625
istb.191920,KÖYİÇİ,29.17486,41.03408
istb.186788,MEHMETÇİK LİSESİ,29.20939,41.01441
istb.185139,SEVGİ SOKAK,29.21212,41.0154
istb.186786,SULTANGAZİ CAD.,29.21653,41.016
istb.186784,VATAN İÖO,29.22183,41.01631
istb.186782,SULTANGAZİ,29.22581,41.01633
istb.184767,KALE SOKAK,29.22926,41.0163
istb.186780,BURÇAK SOKAK,29.23068,41.01756
istb.186778,DEĞER SOKAK,29.23273,41.02041
istb.186776,CEMRE SOKAK,29.23337,41.02139
istb.191564,ADNAN KAHVECİ,29.23512,41.02311
istb.184688,KARTAL SOKAK,29.23624,41.0253
istb.192192,VATAN CADDESİ,29.22999,41.02693
istb.187761,NAR SOKAK,29.22229,41.02386
istb.191278,SEYMENLER,29.21744,41.02465
istb.191280,GÜNGÖREN,29.21967,41.02645
istb.186800,SİNAN SOKAK,29.2234,41.02774
istb.191282,SULTANÇİFTLİĞİ,29.22447,41.02917
istb.191284,TAŞDELEN,29.22746,41.03134
istb.191286,YENİDOĞAN SAPAĞI,29.23025,41.03125
istb.190563,EKŞİOĞLU MAH.,29.23376,41.03211
istb.186896,KURAN KURSU CADDESİ,29.23503,41.03196
istb.186888,KEVSER CAMİİ,29.23853,41.03034
istb.184971,PAPATYA,29.24223,41.02939
istb.186370,M.AKİFERSOY İ.Ö.OKL.,29.2432,41.03042
istb.186890,EMİR SULTAN CAMİİ,29.24201,41.0336
istb.186898,SARAY CADDESİ,29.23753,41.03447
istb.186892,ÇEKMEKÖY BLD.FEN İŞL,29.23588,41.03817
istb.185985,TURGUT ÖZAL CADDESİ,29.23677,41.0419
istb.191292,SARAY CADDESİ,29.23785,41.04356
istb.185127,REŞADİYE CADDESİ,29.23981,41.04929
istb.185129,188. SOKAK,29.23993,41.05221
istb.185131,ADNAN KAHVECİ CAD.,29.23961,41.05793
istb.185205,C15 SOKAK,29.24268,41.05554
istb.185203,ATATÜRK BULVARI,29.24506,41.0547
istb.185201,SULTANSUYU,29.24405,41.05274
istb.185199,MEZARLIK,29.24379,41.0501
istb.184800,G15 SOKAK,29.24564,41.04798
istb.184797,ÇATALMEŞE,29.2497,41.04848
istb.184885,ÇAMLAR,29.25186,41.04721
istb.184887,NİŞANTEPE 1,29.25705,41.04409
istb.184889,NİŞANTEPE İ.Ö.OKL.,29.26174,41.04431
istb.184891,NİŞANTEPE 2,29.26345,41.04407
istb.191828,ATAKENT,29.10955,41.0176
istb.191827,İRFAN KOLEJİ,29.10562,41.01541
istb.186320,GENÇ OSMAN İÖOKL.,29.1055,41.01422
istb.191825,GENÇOSMAN,29.10437,41.01274
istb.191823,TÜRKLER CAD.,29.10117,41.01118
istb.191821,DURU SOKAK,29.10338,41.01318
istb.191819,ATAKENT,29.10399,41.01646
istb.191817,ATAKENT LİSESİ,29.10541,41.01833
istb.191815,REŞİTPAŞA CADDESİ,29.10702,41.02079
istb.191159,ATAKENT,29.10757,41.02284
istb.191160,ATAKENT,29.10765,41.02388
istb.191342,ÇİÇEKÇİ,29.0181,41.01285
istb.191327,PAŞAKAPISI,29.01453,41.01719
istb.191325,DOĞANCILAR,29.01307,41.01933
istb.191322,HALK CAD.,29.01465,41.02013
istb.188994,EMİNÖNÜ,28.96968,41.01875
istb.189112,UNKAPANI,28.96014,41.02426
istb.189136,HZ.HALİT BULVARI,28.93093,41.0472
istb.188291,TAHTA MİNARE,28.92943,41.04952
istb.189138,İSLAMBEY,28.92845,41.05084
istb.188617,ARGAÇ SOKAK,28.92604,41.05198
istb.189141,ÜÇ ŞEHİTLER,28.9229,41.05315
